feat,imp
f6,276.4
f4,252.6
f46,189.0
f2,178.79999999999998
f6_cnt,149.79999999999998
f5,146.0
f1,141.39999999999998
f2/f4,135.6
f46_cnt,128.2
f45/f46,91.4
f44,88.6
f4/f5,86.6
f45,82.19999999999999
f2/f6,79.4
f5/f6,77.4
f4_cnt,73.8
f43,69.0
f44/f46,66.60000000000001
f45-f46,59.00000000000001
f4=f6,58.99999999999999
f1=f6,58.2
f1/f4,56.8
f2=f6,54.8
f45_cnt,52.4
f44-f46,49.6
f44/f45,48.2
f44_cnt,47.2
f5-f6,47.0
f43/f45,46.2
f4/f6,42.400000000000006
f5_cnt,40.6
f19/f23,40.0
f44-f45,39.0
f43/f46,37.8
f19/f37,36.0
f2-f4,35.2
f26_cnt,32.00000000000001
f2=f5,31.8
f4-f5,30.6
f23_cnt,29.8
f1=f5,29.0
f25_cnt,28.200000000000003
f1/f6,28.2
f1_cnt,28.0
f37_cnt,27.4
f23/f37,27.4
f1-f6,27.2
f2_cnt,26.8
f1&f2&f6,26.0
f19-f37,25.4
f19_cnt,25.2
f19/f24,25.2
f1-f4,24.4
f19-f24,24.2
f1-f5,23.4
f3=f26,23.0
f44*f46,23.0
f1/f5,22.8
f19-f23,22.6
f43/f44,21.2
f2/f5,20.8
f43-f45,20.200000000000003
f3&f24&f25,20.0
f5+f6,19.6
f43_cnt,19.200000000000003
f2&f5&f6,19.200000000000003
f43*f44,18.6
f1+f2,18.4
f1&f2&f5,18.2
f23/f24,18.2
f3/f37,17.6
f7/f37,17.6
f4-f6,17.0
f25/f26,16.8
f19/f30,16.8
f43=f44,16.799999999999997
f3/f23,16.599999999999998
f5*f6,16.4
f3=f25,16.2
f4*f6,16.2
f44=f46,16.2
f1&f4&f6,16.0
f24-f25,15.8
f18/f24,15.2
f45*f46,14.8
f43-f46,14.6
f30_cnt,14.6
f44&f45&f46,14.4
f2&f4&f6,14.4
f45+f46,14.0
f43=f45,14.0
f2*f6,13.999999999999998
f23/f25,13.8
f7/f23,13.8
f24/f37,13.6
f2&f4&f5,13.6
f3&f24&f26,13.6
f3/f19,13.6
f24/f30,13.4
f3&f8&f26,13.4
f23-f37,13.2
f43*f45,13.2
f7/f24,13.000000000000002
f7/f18,13.0
f24&f25&f37,13.0
f30/f37,12.8
f24_cnt,12.8
f2-f6,12.6
f19/f21,12.4
f5=f6,12.4
f7-f26,12.4
f43&f44&f45,12.4
f24-f26,12.4
